Pool No.,No,ID,Title,Author,VIS Presenting Year,Year,Keywords,Abstract,DOI,Location,application-focused,user-involved,evaluation-included,evaluation,case study related,design study,Assignment,Manual filtering,"Final Check: Keep-1,Drop-0",A1-Domain (Primary),A1-Domain (Secondary),A1-Domain (Manual labelling),A2-Data-Driven,C-Evaluation mentioned in Contribution,D-Separate section to describe evaluation practices ,D1-Study Protocol included,E-Domain requirements & tasks mentioned,E1- Domain experts involvement in shaping the requirements & tasks,F-Application implementation described,G-Domain integration,AI-related: VIS application for AI,AI-related: AI enhancing VIS tools,AR/VR/XR-related,N.O.Sessions,Total No. of participant,Participant type (a),Number (a),Participant type (b),Number (b),UWP : Understand environments and work prctices,VDAR: Visual data analysis and reasoning,CTV: Evaluate communication through visualization,CDA: Evaluate collaborative data analysis,UP: User performance,UE: User experience,AP: Algorithm performance,QRI: Qualitative result inspection,*ESG: Evaluate Scalibility and Generalizability,*EUV: Extened User Validation,Observation,Workshop,Focus group,Think-aloud protocol,Interview,Survey & Questionnaire,Task-based evaluation (Ql),User Interaction with the tool,Content analysis,Expert/user feedback,Case study,Controlled experiments,A/B testing,Performance evaluation,Task-based evaluation (Qn),User behavior analysis,At which stage,Iterative refinement,Others,Comments
,,2019J085,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3. general public,10,,,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4. After the deployment,0,,
195,57,2019J086,Text-to-Viz: Automatic Generation of Infographics from Proportion-Related Natural Language Statements,"Cui, Weiwei and Zhang, Xiaoyu and Wang, Yun and Huang, He and Chen, Bei and Fang, Lei and Zhang, Haidong and Lou, Jian-Guan and Zhang, Dongmei",2019,2020,Data visualization;Visualization;Tools;Sports;Authoring systems;Natural languages;Social networking (online);Visualization for the masses;infographic;automatic visualization;presentation;and dissemination,"Combining data content with visual embellishments, infographics can effectively deliver messages in an engaging and memorable manner. Various authoring tools have been proposed to facilitate the creation of infographics. However, creating a professional infographic with these authoring tools is still not an easy task, requiring much time and design expertise. Therefore, these tools are generally not attractive to casual users, who are either unwilling to take time to learn the tools or lacking in proper design expertise to create a professional infographic. In this paper, we explore an alternative approach: to automatically generate infographics from natural language statements. We first conducted a preliminary study to explore the design space of infographics. Based on the preliminary study, we built a proof-of-concept system that automatically converts statements about simple proportion-related statistics to a set of infographics with pre-designed styles. Finally, we demonstrated the usability and usefulness of the system through sample results, exhibits, and expert reviews.",10.1109/TVCG.2019.2934785,,TRUE,TRUE,TRUE,,T,F,C1,DROP,0,,,,1,1,1,1,0,0,1,1,0,1,0,,83,3. general public,80,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4. After the deployment,0,,
,,2019J086,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,5. no participant,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4. After the deployment,0,,
,,2019J086,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1. domain expert,3,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4. After the deployment,0,,
200,58,2019J088,EmoCo: Visual Analysis of Emotion Coherence in Presentation Videos,"Zeng, Haipeng and Wang, Xingbo and Wu, Aoyu and Wang, Yong and Li, Quan and Endert, Alex and Qu, Huamin",2019,2020,Coherence;Videos;Feature extraction;Visual analytics;Emotion recognition;Face;Emotion;coherence;video analysis;visual analysis,"Emotions play a key role in human communication and public presentations. Human emotions are usually expressed through multiple modalities. Therefore, exploring multimodal emotions and their coherence is of great value for understanding emotional expressions in presentations and improving presentation skills. However, manually watching and studying presentation videos is often tedious and time-consuming. There is a lack of tool support to help conduct an efficient and in-depth multi-level analysis. Thus, in this paper, we introduce EmoCo, an interactive visual analytics system to facilitate efficient analysis of emotion coherence across facial, text, and audio modalities in presentation videos. Our visualization system features a channel coherence view and a sentence clustering view that together enable users to obtain a quick overview of emotion coherence and its temporal evolution. In addition, a detail view and word view enable detailed exploration and comparison from the sentence level and word level, respectively. We thoroughly evaluate the proposed system and visualization techniques through two usage scenarios based on TED Talk videos and interviews with two domain experts. The results demonstrate the effectiveness of our system in gaining insights into emotion coherence in presentations.",10.1109/TVCG.2019.2934656,,TRUE,TRUE,TRUE,T,T,F,C1,KEEP,1,12. Journalism and media,,,0,1,1,1,1,1,1,1,0,0,0,2,4,1. domain expert,2,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,4. After the deployment,0,,
,,2019J088,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2. domain user,2,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,4. After the deployment,0,,
201,59,2019J089,CerebroVis: Designing an Abstract yet Spatially Contextualized Cerebral Artery Network Visualization,"Pandey, Aditeya and Shukla, Harsh and Young, Geoffrey S. and Qin, Lei and Zamani, Amir A. and Hsu, Liangge and Huang, Raymond and Dunne, Cody and Borkin, Michelle A.",2019,2020,Arteries;Blood;Visualization;Three-dimensional displays;Two dimensional displays;Task analysis;Imaging;Network Visualization;Spatial Context;Abstract Design;Flow Network;Medical Imaging;Cerebral Arteries,"Blood circulation in the human brain is supplied through a network of cerebral arteries. If a clinician suspects a patient has a stroke or other cerebrovascular condition, they order imaging tests. Neuroradiologists visually search the resulting scans for abnormalities. Their visual search tasks correspond to the abstract network analysis tasks of browsing and path following. To assist neuroradiologists in identifying cerebral artery abnormalities, we designed CerebroVis, a novel abstract-yet spatially contextualized-cerebral artery network visualization. In this design study, we contribute a novel framing and definition of the cerebral artery system in terms of network theory and characterize neuroradiologist domain goals as abstract visualization and network analysis tasks. Through an iterative, user-centered design process we developed an abstract network layout technique which incorporates cerebral artery spatial context. The abstract visualization enables increased domain task performance over 3D geometry representations, while including spatial context helps preserve the user's mental map of the underlying geometry. We provide open source implementations of our network layout technique and prototype cerebral artery visualization tool. We demonstrate the robustness of our technique by successfully laying out 61 open source brain scans. We evaluate the effectiveness of our layout through a mixed methods study with three neuroradiologists. In a formative controlled experiment our study participants used CerebroVis and a conventional 3D visualization to examine real cerebral artery imaging data to identify a simulated intracranial artery stenosis. Participants were more accurate at identifying stenoses using CerebroVis (absolute risk difference 13%). A free copy of this paper, the evaluation stimuli and data, and source code are available at osf.io/e5sxt.",10.1109/TVCG.2019.2934402,,TRUE,TRUE,TRUE,T,,T,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,60,2019J093,Motion Browser: Visualizing and Understanding Complex Upper Limb Movement Under Obstetrical Brachial Plexus Injuries,"Chan, Gromit Yeuk-Yin and Nonato, Luis Gustavo and Chu, Alice and Raghavan, Preeti and Aluru, Viswanath and Silva, ClÃ¡udio T.",2019,2020,Muscles;Data visualization;Brachytherapy;Time series analysis;Task analysis;Visual analytics;Medical Data Visualization;Visual Analytics Application;Time Series Data;Multimodal Data;Brachial Plexus Injuries,"The brachial plexus is a complex network of peripheral nerves that enables sensing from and control of the movements of the arms and hand. Nowadays, the coordination between the muscles to generate simple movements is still not well understood, hindering the knowledge of how to best treat patients with this type of peripheral nerve injury. To acquire enough information for medical data analysis, physicians conduct motion analysis assessments with patients to produce a rich dataset of electromyographic signals from multiple muscles recorded with joint movements during real-world tasks. However, tools for the analysis and visualization of the data in a succinct and interpretable manner are currently not available. Without the ability to integrate, compare, and compute multiple data sources in one platform, physicians can only compute simple statistical values to describe patient's behavior vaguely, which limits the possibility to answer clinical questions and generate hypotheses for research. To address this challenge, we have developed MOTION BROWSER, an interactive visual analytics system which provides an efficient framework to extract and compare muscle activity patterns from the patient's limbs and coordinated views to help users analyze muscle signals, motion data, and video information to address different tasks. The system was developed as a result of a collaborative endeavor between computer scientists and orthopedic surgery and rehabilitation physicians. We present case studies showing physicians can utilize the information displayed to understand how individuals coordinate their muscles to initiate appropriate treatment and generate new hypotheses for future research.",10.1109/TVCG.2019.2934280,,TRUE,TRUE,TRUE,,T,F,C1,KEEP,1,10. Healthcare and medical imaging,,"medical, healthcare",0,1,1,0,1,1,1,1,0,0,0,1,1,1. domain expert,1,,,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,4. After the deployment,0,,
203,61,2019J095,Semantic Concept Spaces: Guided Topic Model Refinement using Word-Embedding Projections,"El-Assady, Mennatallah and Kehlbeck, Rebecca and Collins, Christopher and Keim, Daniel and Deussen, Oliver",2019,2020,Semantics;Analytical models;Computational modeling;Visual analytics;Machine learning;Task analysis;Topic Model Optimization;Word Embedding;Mixed-Initiative Refinement;Guided Visual Analytics;Semantic Mapping,"We present a framework that allows users to incorporate the semantics of their domain knowledge for topic model refinement while remaining model-agnostic. Our approach enables users to (1) understand the semantic space of the model, (2) identify regions of potential conflicts and problems, and (3) readjust the semantic relation of concepts based on their understanding, directly influencing the topic modeling. These tasks are supported by an interactive visual analytics workspace that uses word-embedding projections to define concept regions which can then be refined. The user-refined concepts are independent of a particular document collection and can be transferred to related corpora. All user interactions within the concept space directly affect the semantic relations of the underlying vector space model, which, in turn, change the topic modeling. In addition to direct manipulation, our system guides the users' decisionmaking process through recommended interactions that point out potential improvements. This targeted refinement aims at minimizing the feedback required for an efficient human-in-the-loop process. We confirm the improvements achieved through our approach in two user studies that show topic model quality improvements through our visual knowledge externalization and learning process.",10.1109/TVCG.2019.2934654,,TRUE,TRUE,TRUE,,T,F,C1,KEEP,1,1. AI (Machine Learning/Deep Learning/Data Mining),,,0,1,1,1,1,0,1,1,1,0,0,1,6,1. domain expert,6,,,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,4. After the deployment,0,,
204,62,2019J098,A Comparison of Radial and Linear Charts for Visualizing Daily Patterns,"Waldner, Manuela and Diehl, Alexandra and GraÄanin, Denis and Splechtna, Rainer and Delrieux, Claudio and MatkoviÄ‡, KreÅ¡imir",2019,2020,Bars;Data visualization;Layout;Clocks;Task analysis;Time series analysis;Encoding;Radial charts;time series series data;daily patterns;crowd-sourced experiment,"Radial charts are generally considered less effective than linear charts. Perhaps the only exception is in visualizing periodical time-dependent data, which is believed to be naturally supported by the radial layout. It has been demonstrated that the drawbacks of radial charts outweigh the benefits of this natural mapping. Visualization of daily patterns, as a special case, has not been systematically evaluated using radial charts. In contrast to yearly or weekly recurrent trends, the analysis of daily patterns on a radial chart may benefit from our trained skill on reading radial clocks that are ubiquitous in our culture. In a crowd-sourced experiment with 92 non-expert users, we evaluated the accuracy, efficiency, and subjective ratings of radial and linear charts for visualizing daily traffic accident patterns. We systematically compared juxtaposed 12-hours variants and single 24-hours variants for both layouts in four low-level tasks and one high-level interpretation task. Our results show that over all tasks, the most elementary 24-hours linear bar chart is most accurate and efficient and is also preferred by the users. This provides strong evidence for the use of linear layouts - even for visualizing periodical daily patterns.",10.1109/TVCG.2019.2934784,,TRUE,TRUE,TRUE,T,,F,C1,DROP-empirical study,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,63,2019J101,explAIner: A Visual Analytics Framework for Interactive and Explainable Machine Learning,"Spinner, Thilo and Schlegel, Udo and SchÃ¤fer, Hanna and El-Assady, Mennatallah",2019,2020,Data models;Analytical models;Computational modeling;Pipelines;Machine learning;Monitoring;Explainable AI;Interactive Machine Learning;Deep Learning;Visual Analytics;Interpretability;Explainability,"We propose a framework for interactive and explainable machine learning that enables users to (1) understand machine learning models; (2) diagnose model limitations using different explainable AI methods; as well as (3) refine and optimize the models. Our framework combines an iterative XAI pipeline with eight global monitoring and steering mechanisms, including quality monitoring, provenance tracking, model comparison, and trust building. To operationalize the framework, we present explAIner, a visual analytics system for interactive and explainable machine learning that instantiates all phases of the suggested pipeline within the commonly used TensorBoard environment. We performed a user-study with nine participants across different expertise levels to examine their perception of our workflow and to collect suggestions to fill the gap between our system and framework. The evaluation confirms that our tightly integrated system leads to an informed machine learning process while disclosing opportunities for further extensions.",10.1109/TVCG.2019.2934629,,TRUE,TRUE,TRUE,T,,F,C1,KEEP,1,1. AI (Machine Learning/Deep Learning/Data Mining),,xai,0,1,1,1,1,0,1,1,1,0,0,1,9,2. domain user,9,,,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,4. After the deployment,0,,
207,64,2019J102,Explaining Vulnerabilities to Adversarial Machine Learning through Visual Analytics,"Ma, Yuxin and Xie, Tiankai and Li, Jundong and Maciejewski, Ross",2019,2020,Analytical models;Machine learning;Visual analytics;Training;Predictive models;Adversarial machine learning;data poisoning;visual analytics,"Machine learning models are currently being deployed in a variety of real-world applications where model predictions are used to make decisions about healthcare, bank loans, and numerous other critical tasks. As the deployment of artificial intelligence technologies becomes ubiquitous, it is unsurprising that adversaries have begun developing methods to manipulate machine learning models to their advantage. While the visual analytics community has developed methods for opening the black box of machine learning models, little work has focused on helping the user understand their model vulnerabilities in the context of adversarial attacks. In this paper, we present a visual analytics framework for explaining and exploring model vulnerabilities to adversarial attacks. Our framework employs a multi-faceted visualization scheme designed to support the analysis of data poisoning attacks from the perspective of models, data instances, features, and local structures. We demonstrate our framework through two case studies on binary classifiers and illustrate model vulnerabilities with respect to varying attack strategies.",10.1109/TVCG.2019.2934631,,TRUE,TRUE,TRUE,,T,F,C2,KEEP,1,1. AI (Machine Learning/Deep Learning/Data Mining),,Machine Learning,0,1,1,1,1,1,1,1,1,0,0,1,4,1. domain expert,4,,,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,4. After the deployment,0,,
208,65,2019J103,FairSight: Visual Analytics for Fairness in Decision Making,"Ahn, Yongsu and Lin, Yu-Ru",2019,2020,Decision making;Machine learning;Tools;Pipelines;Visual analytics;Machine learning algorithms;Task analysis;Fairness in Machine Learning;Visual Analytic,"Data-driven decision making related to individuals has become increasingly pervasive, but the issue concerning the potential discrimination has been raised by recent studies. In response, researchers have made efforts to propose and implement fairness measures and algorithms, but those efforts have not been translated to the real-world practice of data-driven decision making. As such, there is still an urgent need to create a viable tool to facilitate fair decision making. We propose FairSight, a visual analytic system to address this need; it is designed to achieve different notions of fairness in ranking decisions through identifying the required actions - understanding, measuring, diagnosing and mitigating biases - that together lead to fairer decision making. Through a case study and user study, we demonstrate that the proposed visual analytic and diagnostic modules in the system are effective in understanding the fairness-aware decision pipeline and obtaining more fair outcomes.",10.1109/TVCG.2019.2934262,,TRUE,TRUE,TRUE,,T,F,C2,KEEP,1,1. AI (Machine Learning/Deep Learning/Data Mining),,Machine Learning,0,1,1,1,1,0,1,1,1,0,0,1,20,2. domain user,20,,,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,4. After the deployment,0,,
209,66,2019J104,Summit: Scaling Deep Learning Interpretability by Visualizing Activation and Attribution Summarizations,"Hohman, Fred and Park, Haekyu and Robinson, Caleb and Polo Chau, Duen Horng",2019,2020,Neurons;Biological neural networks;Feature extraction;Data visualization;Computational modeling;Predictive models;Visualization;Deep learning interpretability;visual analytics;scalable summarization;attribution graph,"Deep learning is increasingly used in decision-making tasks. However, understanding how neural networks produce final predictions remains a fundamental challenge. Existing work on interpreting neural network predictions for images often focuses on explaining predictions for single images or neurons. As predictions are often computed from millions of weights that are optimized over millions of images, such explanations can easily miss a bigger picture. We present Summit, an interactive system that scalably and systematically summarizes and visualizes what features a deep learning model has learned and how those features interact to make predictions. Summit introduces two new scalable summarization techniques: (1) activation aggregation discovers important neurons, and (2) neuron-influence aggregation identifies relationships among such neurons. Summit combines these techniques to create the novel attribution graph that reveals and summarizes crucial neuron associations and substructures that contribute to a model's outcomes. Summit scales to large data, such as the ImageNet dataset with 1.2M images, and leverages neural network feature visualization and dataset examples to help users distill large, complex neural network models into compact, interactive visualizations. We present neural network exploration scenarios where Summit helps us discover multiple surprising insights into a prevalent, large-scale image classifier's learned representations and informs future neural network architecture design. The Summit visualization runs in modern web browsers and is open-sourced.",10.1109/TVCG.2019.2934659,,TRUE,TRUE,TRUE,,T,F,C2,DROP-no detailed evaluation only scenarios,0,1. AI (Machine Learning/Deep Learning/Data Mining),,Machine Learning,0,1,1,0,1,0,1,1,1,0,0,,0,5. no participant,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4. After the deployment,0,,
210,67,2019J105,CloudDet: Interactive Visual Analysis of Anomalous Performances in Cloud Computing Systems,"Xu, Ke and Wang, Yun and Yang, Leni and Wang, Yifang and Qiao, Bo and Qin, Si and Xu, Yong and Zhang, Haidong and Qu, Huamin",2019,2020,Cloud computing;Data visualization;Anomaly detection;Measurement;Time series analysis;Visualization;Principal component analysis;Cloud computing;anomaly detection;multidimensional data;performance visualization;visual analytics,"Detecting and analyzing potential anomalous performances in cloud computing systems is essential for avoiding losses to customers and ensuring the efficient operation of the systems. To this end, a variety of automated techniques have been developed to identify anomalies in cloud computing. These techniques are usually adopted to track the performance metrics of the system (e.g., CPU, memory, and disk I/O), represented by a multivariate time series. However, given the complex characteristics of cloud computing data, the effectiveness of these automated methods is affected. Thus, substantial human judgment on the automated analysis results is required for anomaly interpretation. In this paper, we present a unified visual analytics system named CloudDet to interactively detect, inspect, and diagnose anomalies in cloud computing systems. A novel unsupervised anomaly detection algorithm is developed to identify anomalies based on the specific temporal patterns of the given metrics data (e.g., the periodic pattern). Rich visualization and interaction designs are used to help understand the anomalies in the spatial and temporal context. We demonstrate the effectiveness of CloudDet through a quantitative evaluation, two case studies with real-world data, and interviews with domain experts.",10.1109/TVCG.2019.2934613,,TRUE,TRUE,TRUE,T,T,F,C2,KEEP,1,4. Computer networks and security,,Cloud Computing,0,1,1,1,1,1,1,1,0,0,0,1,2,1. domain expert,2,,,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,4. After the deployment,0,,
251,340,2019J106,Visualizing a Moving Target: A Design Study on Task Parallel Programs in the Presence of Evolving Data and Concerns,"Williams, Katy and Bigelow, Alex and Isaacs, Kate",2019,2020,Task analysis;Data visualization;Computational modeling;Runtime;Tools;Parallel processing;Data collection;design studies;software visualization;parallel computing;graph visualization,"Common pitfalls in visualization projects include lack of data availability and the domain users' needs and focus changing too rapidly for the design process to complete. While it is often prudent to avoid such projects, we argue it can be beneficial to engage them in some cases as the visualization process can help refine data collection, solving a â€œchicken and eggâ€ problem of having the data and tools to analyze it. We found this to be the case in the domain of task parallel computing where such data and tooling is an open area of research. Despite these hurdles, we conducted a design study. Through a tightly-coupled iterative design process, we built Atria, a multi-view execution graph visualization to support performance analysis. Atria simplifies the initial representation of the execution graph by aggregating nodes as related to their line of code. We deployed Atria on multiple platforms, some requiring design alteration. We describe how we adapted the design study methodology to the â€œmoving targetâ€ of both the data and the domain experts' concerns and how this movement kept both the visualization and programming project healthy. We reflect on our process and discuss what factors allow the project to be successful in the presence of changing data and user needs.",10.1109/TVCG.2019.2934285,,TRUE,TRUE,FALSE,,,T,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,68,2019J107,Exploranative Code Quality Documents,"Mumtaz, Haris and Latif, Shahid and Beck, Fabian and Weiskopf, Daniel",2019,2020,Data visualization;Visual analytics;Software;Software metrics;Software engineering;Code quality;interactive documents;natural language generation;sparklines,"Good code quality is a prerequisite for efficiently developing maintainable software. In this paper, we present a novel approach to generate exploranative (explanatory and exploratory) data-driven documents that report code quality in an interactive, exploratory environment. We employ a template-based natural language generation method to create textual explanations about the code quality, dependent on data from software metrics. The interactive document is enriched by different kinds of visualization, including parallel coordinates plots and scatterplots for data exploration and graphics embedded into text. We devise an interaction model that allows users to explore code quality with consistent linking between text and visualizations; through integrated explanatory text, users are taught background knowledge about code quality aspects. Our approach to interactive documents was developed in a design study process that included software engineering and visual analytics experts. Although the solution is specific to the software engineering scenario, we discuss how the concept could generalize to multivariate data and report lessons learned in a broader scope.",10.1109/TVCG.2019.2934669,,TRUE,TRUE,TRUE,,T,T,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,69,2019J108,OntoPlot: A Novel Visualisation for Non-hierarchical Associations in Large Ontologies,"Yang, Ying and Wybrow, Michael and Li, Yuan-Fang and Czauderna, Tobias and He, Yongqun",2019,2020,Ontologies;Visualization;Drugs;Task analysis;Data visualization;Tools;Biology;Ontology visualisation;visual compression;interactive exploration;ontology associations,"Ontologies are formal representations of concepts and complex relationships among them. They have been widely used to capture comprehensive domain knowledge in areas such as biology and medicine, where large and complex ontologies can contain hundreds of thousands of concepts. Especially due to the large size of ontologies, visualisation is useful for authoring, exploring and understanding their underlying data. Existing ontology visualisation tools generally focus on the hierarchical structure, giving much less emphasis to non-hierarchical associations. In this paper we present OntoPlot, a novel visualisation specifically designed to facilitate the exploration of all concept associations whilst still showing an ontology's large hierarchical structure. This hybrid visualisation combines icicle plots, visual compression techniques and interactivity, improving space-efficiency and reducing visual structural complexity. We conducted a user study with domain experts to evaluate the usability of OntoPlot, comparing it with the de facto ontology editor ProtÃ©gÃ©. The results confirm that OntoPlot attains our design goals for association-related tasks and is strongly favoured by domain experts.",10.1109/TVCG.2019.2934557,,TRUE,TRUE,TRUE,T,T,F,C2,KEEP,1,2. Biology and life sciences,,"Ontologies, Biomedical Data",0,1,1,1,1,1,1,1,0,0,0,2,32,1. domain expert,12,,,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,4. After the deployment,0,,
,,2019J108,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3. general public,18,1. domain expert,2,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,4. After the deployment,0,,
262,341,2019J109,P5: Portable Progressive Parallel Processing Pipelines for Interactive Data Analysis and Visualization,"Li, Jianping Kelvin and Ma, Kwan-Liu",2019,2020,Data visualization;Graphics processing units;Parallel processing;Data analysis;Grammar;Libraries;Big Data;Information visualization;progressive analytics;visualization software;GPU computing;data exploration,"We present P5, a web-based visualization toolkit that combines declarative visualization grammar and GPU computing for progressive data analysis and visualization. To interactively analyze and explore big data, progressive analytics and visualization methods have recently emerged. Progressive visualizations of incrementally refining results have the advantages of allowing users to steer the analysis process and make early decisions. P5 leverages declarative grammar for specifying visualization designs and exploits GPU computing to accelerate progressive data processing and rendering. The declarative specifications can be modified during progressive processing to create different visualizations for analyzing the intermediate results. To enable user interactions for progressive data analysis, P5 utilizes the GPU to automatically aggregate and index data based on declarative interaction specifications to facilitate effective interactive visualization. We demonstrate the effectiveness and usefulness of P5 through a variety of example applications and several performance benchmark tests.",10.1109/TVCG.2019.2934537,,TRUE,TRUE,FALSE,,,,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,342,2019J110,RSATree: Distribution-Aware Data Representation of Large-Scale Tabular Datasets for Flexible Visual Query,"Mei, Honghui and Chen, Wei and Wei, Yating and Hu, Yuanzhe and Zhou, Shuyue and Lin, Bingru and Zhao, Ying and Xia, Jiazhi",2019,2020,Visualization;Data visualization;Aggregates;Histograms;Time factors;Visual databases;Social networking (online);Aggregate query;visual query;large-scale data visualization;R-tree;summed area table;hashing,"Analysts commonly investigate the data distributions derived from statistical aggregations of data that are represented by charts, such as histograms and binned scatterplots, to visualize and analyze a large-scale dataset. Aggregate queries are implicitly executed through such a process. Datasets are constantly extremely large; thus, the response time should be accelerated by calculating predefined data cubes. However, the queries are limited to the predefined binning schema of preprocessed data cubes. Such limitation hinders analysts' flexible adjustment of visual specifications to investigate the implicit patterns in the data effectively. Particularly, RSATree enables arbitrary queries and flexible binning strategies by leveraging three schemes, namely, an R-tree-based space partitioning scheme to catch the data distribution, a locality-sensitive hashing technique to achieve locality-preserving random access to data items, and a summed area table scheme to support interactive query of aggregated values with a linear computational complexity. This study presents and implements a web-based visual query system that supports visual specification, query, and exploration of large-scale tabular data with user-adjustable granularities. We demonstrate the efficiency and utility of our approach by performing various experiments on real-world datasets and analyzing time and space complexity.",10.1109/TVCG.2019.2934800,,TRUE,TRUE,FALSE,,,,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,70,2019J114,R-Map: A Map Metaphor for Visualizing Information Reposting Process in Social Media,"Chen, Shuai and Li, Sihang and Chen, Siming and Yuan, Xiaoru",2019,2020,Semantics;Visualization;Diffusion processes;Data visualization;Twitter;Lakes;Social Media;Information Diffusion;Map-like Visual Metaphor,"We propose R-Map (Reposting Map), a visual analytical approach with a map metaphor to support interactive exploration and analysis of the information reposting process in social media. A single original social media post can cause large cascades of repostings (i.e., retweets) on online networks, involving thousands, even millions of people with different opinions. Such reposting behaviors form the reposting tree, in which a node represents a message and a link represents the reposting relation. In R-Map, the reposting tree structure can be spatialized with highlighted key players and tiled nodes. The important reposting behaviors, the following relations and the semantics relations are represented as rivers, routes and bridges, respectively, in a virtual geographical space. R-Map supports a scalable overview of a large number of information repostings with semantics. Additional interactions on the map are provided to support the investigation of temporal patterns and user behaviors in the information diffusion process. We evaluate the usability and effectiveness of our system with two use cases and a formal user study.",10.1109/TVCG.2019.2934263,,TRUE,TRUE,TRUE,T,T,F,C2,KEEP,1,11. Humanities and social sciences,12. Journalism and media,Social Media,0,1,1,1,1,1,1,1,0,0,0,1,14,3. general public,14,,,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,4. After the deployment,0,,
221,71,2019J118,The Role of Latency and Task Complexity in Predicting Visual Search Behavior,"Battle, Leilani and Crouser, R. Jordan and Nakeshimana, Audace and Montoly, Ananda and Chang, Remco and Stonebraker, Michael",2019,2020,Task analysis;Complexity theory;Human computer interaction;Visualization;Data visualization;Delays;Visual search;latency;system response time;SRT,"Latency in a visualization system is widely believed to affect user behavior in measurable ways, such as requiring the user to wait for the visualization system to respond, leading to interruption of the analytic flow. While this effect is frequently observed and widely accepted, precisely how latency affects different analysis scenarios is less well understood. In this paper, we examine the role of latency in the context of visual search, an essential task in data foraging and exploration using visualization. We conduct a series of studies on Amazon Mechanical Turk and find that under certain conditions, latency is a statistically significant predictor of visual search behavior, which is consistent with previous studies. However, our results also suggest that task type, task complexity, and other factors can modulate the effect of latency, in some cases rendering latency statistically insignificant in predicting user behavior. This suggests a more nuanced view of the role of latency than previously reported. Building on these results and the findings of prior studies, we propose design guidelines for measuring and interpreting the effects of latency when evaluating performance on visual search tasks.",10.1109/TVCG.2019.2934556,,TRUE,TRUE,TRUE,,T,F,C2,DROP,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
